description,url,Model,Year,Volume,Run,Price
"Honda Cr-V 1.6D 118kw, Awd, Automātiskā ātrumkārba. Oriģināls un pierādāms n",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cflfch.html,Cr-v,2017,2.2D,161 thd.,"14,950  €"
"Honda Crv 2.0 Benzins Automāts. 4x4 Pilnpiedziņa. 
Oriģināls nobraukums 246",https://www.ss.com/msg/en/transport/cars/honda/cr-v/hlmej.html,Cr-v,2007,2.0,247 thd.,"4,900  €"
"Автомобиль в очень хорошем состоянии, признан из Бельгии в 2021 году с ориги",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ccmebf.html,Cr-v,2009,2.2D,340 thd.,"5,199 €"
Pārdod Honda Cr-V labā tehniskā un vizuală stāvokli. Automašina ir kopta un,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cddnnx.html,Cr-v,2011,2.0,380 thd.,"5,700 €"
"Tikko no Vācijas. Pilnā “Executive” versija. 
Hondas 2.2 turbodīzelis. 
4w",https://www.ss.com/msg/en/transport/cars/honda/cr-v/afech.html,Cr-v,2011,2.2D,200 thd.,"7,750  €"
"Honda Cr-V, 2.2 dīzelis 103kW, 4x4.

Jauna tehniskā apskate. Visi nodokļi",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cmnxx.html,Cr-v,2007,2.2D,-,"5,490  €"
"Labā stavokļī. 
Iespējams līzings un maiņa. 
Līzinga noformēšana uz vietas",https://www.ss.com/msg/en/transport/cars/honda/cr-v/dcmlj.html,Cr-v,2006,2.2D,-,"2,390  €"
Новое авто покупалось в Латвии в автосалоне дилера в ноябре 2007 года. Один,https://www.ss.com/msg/en/transport/cars/honda/civic/bpmfh.html,Civic,2007,1.8,206 thd.,600  €
"Продаю надёжный и экономичный авто, для ежедневной езды. Ходовая в хорошем с",https://www.ss.com/msg/en/transport/cars/honda/civic/amehn.html,Civic,2008,1.4,177 thd.,"1,500 €"
"Pārdodu Honda Crv 2.0 bendzīns, 4×4, 2004. gada, 110kw jauda ar svaigu TA 09",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkhpni.html,Cr-v,2005,2.0,240 thd.,"2,450  €"
"Honda Civic Comfort 1.8 benzīns, 2013. gada izlaidums. Viens īpašnieks. Auto",https://www.ss.com/msg/en/transport/cars/honda/civic/cxxfd.html,Civic,2013,1.8,-,"3,700  €"
"Honda Accord Tourer Executive 2.2 I-Ctdi, 2006 г. 

Продаётся Honda Accord",https://www.ss.com/msg/en/transport/cars/honda/accord/bopgm.html,Accord,2006,2.2D,341 thd.,"2,200  €"
"Honda Civic, 2008 года, бензин 1.8 л, механическая коробка передач, кузов хэ",https://www.ss.com/msg/en/transport/cars/honda/civic/nikfd.html,Civic,2008,1.8,190 thd.,"2,500  €"
"Pārdodu, jo ir cits auto. Auto iedarbinās un brauc. Ir vizuāli trūkumi, kas",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bhegh.html,Cr-v,2006,2.2D,377 thd.,"2,400 €"
"Honda Accord 
2.2 dīzelis 
Manuāla ātrumkārba 

Ļoti labā tehniskā un vizuāl",https://www.ss.com/msg/en/transport/cars/honda/accord/felgn.html,Accord,2004,2.2D,393 thd.,"2,850  €"
"Jauna T. A-03.08.2027
Honda Cr-V 2.2d 103kw 2005.gada. 

Iespējama maiņa",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ailxb.html,Cr-v,2005,2.2D,415 thd.,"1,600  €"
Tirgojās honda crv sikak info zvanot.,https://www.ss.com/msg/en/transport/cars/honda/cr-v/clbmi.html,Cr-v,2000,2.0,330 thd.,550  €
"Pardodu mašīnu, sakara ar cita auto iegadi, sīkāk info pa telefonu.",https://www.ss.com/msg/en/transport/cars/honda/cr-v/coded.html,Cr-v,2007,2.2D,316 thd.,"4,200  €"
"Pārdodu Honda Cr-V 4×4, 2.2 I-Cdti, 103Kw, 2007.gada, sakarā ar jauna auto i",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cefxdl.html,Cr-v,2007,2.2D,254 thd.,"4,350 €"
"Honda Crv 4X4
2.0 benzīns/gāze. 
Automātiskā ātrumkārba. 
Jauna tehniskā",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cplfp.html,Cr-v,2007,2.0,307 thd.,"3,870  €"
"Pārdodu Honda Civic 1.8 I-Vtec, 104 kW / 142 ZS, 6-pakāpju manuālā kārba, 20",https://www.ss.com/msg/en/transport/cars/honda/civic/ckhfb.html,Civic,2013,1.8,156 thd.,"5,490  €"
"Продаю Хонда Акорд 2004 года, 2.2 дизель, 103kw
Техническое состояние хорош",https://www.ss.com/msg/en/transport/cars/honda/accord/clccx.html,Accord,2004,2.2D,285 thd.,"1,000  €"
"Pārdodu Honda Cr-V 2.0 benzīns, automāts sakarā ar jauna auto iegādi. Auto k",https://www.ss.com/msg/en/transport/cars/honda/cr-v/goceh.html,Cr-v,2008,2.0,228 thd.,"6,200  €"
"Pārdod Honda Accord Type S 2, 4L , benzīns/gāze , 2009 gada. Jauna apskate.",https://www.ss.com/msg/en/transport/cars/honda/accord/cohfp.html,Accord,2009,2.4,487 thd.,"1,650 €"
"Honda Civic X 1.0 Vtec Turbo / Cvt / 96 000 км

Продаю ухоженный Honda Civ",https://www.ss.com/msg/en/transport/cars/honda/civic/nilip.html,Civic,2018,1.0,96 thd.,"10,500 €"
"Авто из Германии в отличном состоянии. Пробег оригинальный. Цена с номерами,",https://www.ss.com/msg/en/transport/cars/honda/civic/gbecb.html,Civic,2012,2.2D,248 thd.,"4,990  €"
"Īpašniece pārdod Honda Cr-V. 
Apskate līdz 21.05.2027.
Auto stāvoklis-sēdi",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bmdlp.html,Cr-v,2013,2.2D,363 thd.,"6,500 €"
Pārdodu Honda Cr-V 2.0i benzīns (110kW) ar 5-pakāpju manuālo ātrumkārbu.,https://www.ss.com/msg/en/transport/cars/honda/cr-v/ccmfcc.html,Cr-v,2003,2.0,457 thd.,"1,150  €"
"Pārdodu Honda Accord X Touring (1.5L turbo, 143 KW 192hp, videjais pateriņš",https://www.ss.com/msg/en/transport/cars/honda/accord/cflfx.html,Accord,2018,1.5,139 thd.,"17,100  €"
"Honda Hr-V labvā stāvoklī. Latvijā, viens īpašnieks. Visas apkopes veiktas i",https://www.ss.com/msg/en/transport/cars/honda/hr-v/flmeb.html,Hr-v,2016,1.6D,240 thd.,"8,500  €"
Pārdod labā stāvoklī Honda auto. Viens saimnieks Latvijā. Pilnpiedziņa strād,https://www.ss.com/msg/en/transport/cars/honda/cr-v/ekfxb.html,Cr-v,2008,2.2D,284 thd.,"4,200  €"
Honda Accord Tourer Executive MT 2.4 benzīns- 148 kW. Pirkta Jauna Latvijā p,https://www.ss.com/msg/en/transport/cars/honda/accord/dfxjl.html,Accord,2012,2.4,276 thd.,"4,950  €"
"Pārdodu Honda cr-v, 2010 Gada. 

Jauda: 110Kw

Šis auto neatrodās mūsu auto",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkplxx.html,Cr-v,2010,2.2D,268 thd.,"5,500  €"
"Honda accord, jauna ta, 2.0 benzīns, automātiskā ātrumkārba, 2 atslēgas, ori",https://www.ss.com/msg/en/transport/cars/honda/accord/bdehg.html,Accord,2012,2.0,-,"3,999  €"
"Honda civic, 1.6 benzīns, mehāniskā ātrumkārba, orģinals nobraukums, labā ko",https://www.ss.com/msg/en/transport/cars/honda/civic/fciep.html,Civic,2007,1.6,-,"1,399  €"
"Honda Accord Tourer ar 2.2 dīzeļdzinēju un manuālo ātrumkārbu. 
Auto cilvēk",https://www.ss.com/msg/en/transport/cars/honda/accord/epijo.html,Accord,2009,2.2D,285 thd.,"3,790  €"
"Atvesta no Beļģijas, Honda Civic Tourer, 1, 6 Dtec Comfort

Klimata kontro",https://www.ss.com/msg/en/transport/cars/honda/civic/efpli.html,Civic,2015,1.6D,243 thd.,"7,470  €"
"Продаю ухоженный автомобиль, экономичный средний расход 5.3 литра. Кожаный с",https://www.ss.com/msg/en/transport/cars/honda/civic/nhhcx.html,Civic,2008,2.2D,475 thd.,"2,150 €"
"Honda Civic 2006g. дизель красивый обвес, пробег 279000 км, хетчбэк 5 дверей",https://www.ss.com/msg/en/transport/cars/honda/civic/cojfp.html,Civic,2006,2.2D,279 thd.,"2,549  €"
"Pārdod Honda Cr-V 2.2 dīzelis, 4x4, mehāniskā kārba, Jauna tehniskā apskate",https://www.ss.com/msg/en/transport/cars/honda/cr-v/eelkl.html,Cr-v,2007,2.2D,330 thd.,"4,200  €"
"Honda Cr-V 1.6 I-Dtec 2015 Ekonomisks, Atgāzu cietās daļiņas ( cm3 ) tikai -",https://www.ss.com/msg/en/transport/cars/honda/cr-v/gpcem.html,Cr-v,2015,1.6D,241 thd.,"7,700  €"
"TA 27.03.2027 - Honda Civic 1.8i 103 kW Sportpaket / Final Edition

Automa",https://www.ss.com/msg/en/transport/cars/honda/civic/gminj.html,Civic,2007,1.8,340 thd.,"1,700  €"
"Honda Cr-V ar 2.2 litru dizeldzinēju un
manuãlo transmisiju. 
Komfortabls,",https://www.ss.com/msg/en/transport/cars/honda/cr-v/blclbo.html,Cr-v,2007,2.2D,303 thd.,"5,100 €"
"Benzīns /gāze, jauna skate, bez rūsas un virsbūves defektiem , viss kam jāst",https://www.ss.com/msg/en/transport/cars/honda/civic/bilki.html,Civic,2006,1.8,333 thd.,"2,500  €"
"Honda Cr-V, 2.0 benzīns, manuālā ātrumkārba, pilnpiedziņa (4x4). 

Dzinējs",https://www.ss.com/msg/en/transport/cars/honda/cr-v/fkdmf.html,Cr-v,2002,2.0,377 thd.,580  €
"Piešķirts darba auto, tāpēc šis tiek pārdots. Ņemot vērā ieguldījumu apjomu,",https://www.ss.com/msg/en/transport/cars/honda/accord/bffbx.html,Accord,2005,2.2D,408 thd.,"1,400  €"
"Honda Civic Tourer 1.8 бензин, 2015 года, комплектация Type S. Торг уместен.",https://www.ss.com/msg/en/transport/cars/honda/civic/hpokk.html,Civic,2015,1.8,170 thd.,"8,900  €"
"Īpašniece pārdod Honda Crv, 2, 2 dīzelis, automāts, pilnpiedziņa. Jauna tehn",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bgbkl.html,Cr-v,2011,2.2D,219 thd.,"6,800  €"
Sēdies un brauc. Ziemas riepas uz diskiem nāk līdzi.,https://www.ss.com/msg/en/transport/cars/honda/civic/bhkdn.html,Civic,2006,2.2D,309 thd.,"2,200 €"
Автомобиль в отличном техническом и визуальном состоянии. Полностью обслужен,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdhnmp.html,Cr-v,2013,2.2D,210 thd.,"10,500  €"
"Pārdodu 2000.gada Honda Cr-V pirmās paaudzes importētu no Kalifornijas, 2.0",https://www.ss.com/msg/en/transport/cars/honda/cr-v/fbfjd.html,Cr-v,2000,2.0,143 thd.,"1,700  €"
"Honda Cr-V Lifestyle, 2022

Pārdodu Honda Cr-V Lifestyle komplektācijā. Au",https://www.ss.com/msg/en/transport/cars/honda/cr-v/ehfnn.html,Cr-v,2022,2.0H,45 thd.,"28,900  €"
Пробег--130 тыс. км . В салоне не курили. Не ржавая. Смотреть в Зиепниеккалн,https://www.ss.com/msg/en/transport/cars/honda/accord/ggnnh.html,Accord,2000,1.8,131 thd.,"1,800  €"
"Honda Cr-V
2.2 Dīzelis/110kw/
Nobraukums: 168441
Pirma reģistrācija: 27.0",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cenxxp.html,Cr-v,2010,2.2D,-,"8,150  €"
"Экономичный автомобиль, технически в хорошем состоянии, полностью готов к эк",https://www.ss.com/msg/en/transport/cars/honda/civic/nhkmd.html,Civic,2007,1.8,298 thd.,"2,550 €"
"Honda Cr-V 2.2 Dīzelis 103kw / 138zs , mehāniskā pārnesumkārba. 

Pārdod /",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cfxcnl.html,Cr-v,2005,2.2D,-,"3,290  €"
Jauna Honda Civic Type R Fl5 pelēkā krāsā (Sonic Grey Pearl) ar nelielu 4 10,https://www.ss.com/msg/en/transport/cars/honda/civic/hbnij.html,Civic,2025,2.0,4.1 thd.,"52,500 €"
"Civic Tourer, Mehāniskā Kārba, Lv kopš 6.03.2023. 
TA līdz 8.04.2027. šī ga",https://www.ss.com/msg/en/transport/cars/honda/civic/fmkme.html,Civic,2017,1.6D,194 thd.,"9,400  €"
Pārdodu Honda crv 2.0 benzīns/gāze Brc. Jauna TA. Gāzes/dzinēja visi filtri,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdikol.html,Cr-v,2006,2.0,404 thd.,"1,800  €"
"Pārdod Honda Civic 2008. gada izlaiduma, uzticams un ekonomisks hečbeks ar 1",https://www.ss.com/msg/en/transport/cars/honda/civic/dnlbg.html,Civic,2008,1.8,227 thd.,"2,199  €"
"Honda Civic 1.8 benzīns, automātiskā pārnesumkārba. Ļoti labā tehniskā stāvo",https://www.ss.com/msg/en/transport/cars/honda/civic/chjjc.html,Civic,2016,1.8,212 thd.,"8,900  €"
"Auto ir tehniski laba stavokli , viss darbojas kondicinoieris un citi mezgli",https://www.ss.com/msg/en/transport/cars/honda/accord/bilfj.html,Accord,2004,2.0,261 thd.,"1,750  €"
"Pārdošanā Honda Cr-V 2.0, benzīns. 110kW, pilnpiedziņa, gaiši pelēka (tehnis",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cdhkcb.html,Cr-v,2007,2.0,222 thd.,"4,567  €"
"Crv Facelift pilnākā komplektācija ar pilnāko asistentu paku. 

Adaptīvās",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cclmgb.html,Cr-v,2016,2.0,197 thd.,"14,200  €"
"Pārdodu savu auto. 
Automašīna ir labi uzturēta un ļoti labā stāvoklī. Par",https://www.ss.com/msg/en/transport/cars/honda/insight/bllgfn.html,Insight,2013,1.2H,255 thd.,"4,900 €"
"Pārdod Honda Jazz. Bez TA. Taču visi nodokļi uz šo brīdi ir nomaksāti. 
Aut",https://www.ss.com/msg/en/transport/cars/honda/jazz/fclpx.html,Jazz,2006,1.4,277 thd.,300  €
"Pārdod Honda Hrv .4x4 strādā perfekti. Vasarai apvidus riepas 215/70 R15, au",https://www.ss.com/msg/en/transport/cars/honda/hr-v/efddn.html,Hr-v,1999,1.6,348 thd.,"1,620  €"
"Ekonomisks un ļoti praktisks auto ejošā stāvoklī: 

 mūsdienīgs dizains",https://www.ss.com/msg/en/transport/cars/honda/jazz/bhckj.html,Jazz,2012,1.6,238 thd.,"1,600  €"
"Honda Jazz Hybrid Advance E-Cvt
Ražotāja garantija Hybrid I-Mmd Tehnoloģija",https://www.ss.com/msg/en/transport/cars/honda/jazz/amhld.html,Jazz,2025,1.5H,18 thd.,"21,900  €"
